 p   q  n_elements       n_dofs      time/it    dofs/s/it  CG_its  time/matvec
 4   6          16         1377  1.34027e-05  1.02741e+08     166  5.26494e-06
 4   6          32         2601  1.55449e-05  1.67322e+08     162  7.59917e-06
 4   6          64         4913  1.74097e-05  2.82199e+08     173  9.09908e-06
 4   6         128         9537  1.80423e-05  5.28592e+08     173  9.95522e-06
 4   6         256        18513   2.7105e-05   6.8301e+08     178  1.84958e-05
 4   6         512        35937  3.70489e-05  9.69987e+08     174  2.55923e-05
 4   6        1024        70785  5.07253e-05  1.39546e+09     171  3.61924e-05
 4   6        2048       139425  8.70756e-05   1.6012e+09     169  6.59772e-05
 4   6        4096       274625  0.000155837  1.76226e+09     174  0.000116347
 4   6        8192       545025  0.000294107  1.85315e+09     172  0.000216252
 4   6       16384      1081665  0.000663707  1.62973e+09     172  0.000437152
 4   6       32768      2146689   0.00217122  9.88701e+08     172   0.00117116
 4   6       65536      4276737   0.00628911  6.80022e+08     170    0.0031148
 4   6      131072      8520321    0.0131807  6.46424e+08     170   0.00671261
 4   6      262144     16974593    0.0262256  6.47254e+08     169    0.0129816
 4   6      524288     33883137    0.0524744  6.45708e+08     168    0.0250399
 4   6     1048576     67634433     0.103114  6.55922e+08     167    0.0490661

