 p   q  n_elements       n_dofs      time/it    dofs/s/it  CG_its
 8  10           8         4913  8.95275e-05   5.4877e+07  368
 8  10          16         9537  9.38903e-05  1.01576e+08  373
 8  10          32        18513  9.92017e-05   1.8662e+08  377
 8  10          64        35937  0.000107284  3.34972e+08  353
 8  10         128        70785  0.000110434  6.40973e+08  353
 8  10         256       139425  0.000189017  7.37633e+08  354
 8  10         512       274625  0.000348503  7.88012e+08  358
 8  10        1024       545025  0.000667763  8.16196e+08  354
 8  10        2048      1081665   0.00152071  7.11291e+08  352
 8  10        4096      2146689   0.00442792  4.84808e+08  358
 8  10        8192      4276737   0.00952975  4.48778e+08  355
 8  10       16384      8520321    0.0193059  4.41332e+08  353
 8  10       32768     16974593    0.0384945  4.40961e+08  355
 8  10       65536     33883137    0.0758379  4.46783e+08  351


