 p    q   n_elements        n_dofs       time/it     dofs/s/it   CG_its   time/matvec
 6    8            8          2197   9.92936e-05   2.21263e+07      276   2.15697e-05
 6    8           16          4225   0.000109338   3.86415e+07      269   3.11899e-05
 6    8           32          8125   0.000119798   6.78227e+07      276     4.287e-05
 6    8           64         15625   0.000126902   1.23126e+08      277   5.08404e-05
 6    8          128         30625   0.000133178   2.29955e+08      275   5.60403e-05
 6    8          256         60025   0.000144082   4.16602e+08      268   6.61802e-05
 6    8          512        117649   0.000131235   8.96477e+08      260   5.17392e-05
 6    8         1024        232897   0.000133109   1.74967e+09      258   5.32293e-05
 6    8         2048        461041   0.000138651   3.32518e+09      258    5.6839e-05
 6    8         4096        912673    0.00016824   5.42484e+09      259   7.92909e-05
 6    8         8192       1815937    0.00016958   1.07085e+10      257   7.69186e-05
 6    8        16384       3613153   0.000173101   2.08731e+10      256   7.37906e-05
 6    8        32768       7189057   0.000194109   3.70362e+10      257   7.90715e-05
 6    8        65536      14340865   0.000235178   6.09788e+10      253   0.000106061
 6    8       131072      28607425   0.000288656   9.91056e+10      253   0.000149801
 6    8       262144      57066625   0.000442138    1.2907e+11      254    0.00026159
 6    8       524288     113985025    0.00088788   1.28379e+11      250   0.000455461
 6    8      1048576     227673985    0.00171033   1.33117e+11      250   0.000938799
 6    8      2097152     454756609    0.00397868   1.14298e+11      250    0.00208354
 6    8      4194304     908921857    0.00885959   1.02592e+11      246    0.00537981
 6    8      8388608    1816661761     0.0188009   9.66265e+10      245    0.00874118
 6    8     16777216    3630961153     0.0343893   1.05584e+11      244     0.0203111
 6    8     33554432    7259559937     0.0660913   1.09841e+11      241     0.0336908
 6    8     67108864   14514396673      0.132662   1.09409e+11      239     0.0723413
