 p    q   n_elements        n_dofs       time/it     dofs/s/it   CG_its
 8   10            8          4913   0.000140195    3.5044e+07   368
 8   10           16          9537   0.000146912   6.49165e+07   373
 8   10           32         18513   0.000159634   1.15972e+08   377
 8   10           64         35937   0.000170348   2.10962e+08   353
 8   10          128         70785   0.000178921   3.95622e+08   353
 8   10          256        139425   0.000184116   7.57266e+08   354
 8   10          512        274625   0.000174548   1.57335e+09   358
 8   10         1024        545025   0.000177526   3.07011e+09   355
 8   10         2048       1081665   0.000195744   5.52591e+09   352
 8   10         4096       2146689   0.000216936   9.89551e+09   358
 8   10         8192       4276737   0.000274369   1.55876e+10   355
 8   10        16384       8520321   0.000258125   3.30085e+10   353
 8   10        32768      16974593   0.000256017   6.63025e+10   355
 8   10        65536      33883137   0.000352689   9.60709e+10   351
 8   10       131072      67634433   0.000613089   1.10318e+11   350
 8   10       262144     135005697    0.00103973   1.29847e+11   350
 8   10       524288     269748225    0.00235466   1.14559e+11   345
 8   10      1048576     538970625    0.00512415   1.05182e+11   343
 8   10      2097152    1076890625     0.0108585   9.91749e+10   340
 8   10      4194304    2152730625     0.0213792   1.00693e+11   331
 8   10      8388608    4303361025     0.0395398   1.08836e+11   321
 8   10     16777216    8602523649     0.0778678   1.10476e+11   313
 8   10     33554432   17200848897       0.15465   1.11225e+11   301

