 p    q   n_elements        n_dofs       time/it     dofs/s/it   CG_its
 2    3          128          1377   0.000153517   8.96967e+06    79
 2    3          256          2601   0.000119023   2.18529e+07    78
 2    3          512          4913   0.000108196   4.54085e+07    72
 2    3         1024          9537   0.000110424   8.63673e+07    73
 2    3         2048         18513   0.000111658   1.65801e+08    73
 2    3         4096         35937   0.000135959   2.64322e+08    71
 2    3         8192         70785   0.000137692   5.14083e+08    71
 2    3        16384        139425   0.000139243   1.00131e+09    70
 2    3        32768        274625   0.000169854   1.61683e+09    69
 2    3        65536        545025   0.000162854   3.34671e+09    68
 2    3       131072       1081665   0.000165658    6.5295e+09    67
 2    3       262144       2146689   0.000170785   1.25696e+10    65
 2    3       524288       4276737   0.000177017   2.41601e+10    65
 2    3      1048576       8520321   0.000194216   4.38704e+10    65
 2    3      2097152      16974593   0.000241999   7.01433e+10    63
 2    3      4194304      33883137    0.00033846    1.0011e+11    63
 2    3      8388608      67634433   0.000511131   1.32323e+11    62
 2    3     16777216     135005697   0.000954951   1.41374e+11    62
 2    3     33554432     269748225    0.00196543   1.37247e+11    61
 2    3     67108864     538970625    0.00492831   1.09362e+11    61
 2    3    134217728    1076890625     0.0102169   1.05403e+11    60
 2    3    268435456    2152730625     0.0223771   9.62024e+10    60
 2    3    536870912    4303361025     0.0407757   1.05537e+11    58

