 p   q  n_element      n_dofs      time/it    dofs/s/it  itCG  time/matvec  timeMVmerge  timeMVcompu  timeMVlinear
 2   3        128        1377  3.96296e-05  3.47467e+07    33  1.17378e-05  1.09089e-05  1.28013e-05  1.16986e-05
 2   3        256        2601  3.35059e-05  7.76281e+07    42  1.33806e-05  1.19897e-05  1.39661e-05  1.34234e-05
 2   3        512        4913  4.15945e-05  1.18116e+08    51  2.17945e-05  1.91036e-05  2.29715e-05  2.18988e-05
 2   3       1024        9537  4.47309e-05  2.13208e+08    67    2.766e-05  2.31448e-05   2.9325e-05  2.79391e-05
 2   3       2048       18513  5.50323e-05  3.36403e+08    86  3.80971e-05  2.93304e-05  3.90543e-05  3.59955e-05
 2   3       4096       35937  7.37178e-05  4.87494e+08   101  5.50322e-05  4.21837e-05  6.09468e-05  5.60967e-05
 2   3       8192       70785  0.000114651  6.17397e+08   136  9.13255e-05  6.88007e-05  0.000110996   9.8011e-05
 2   3      16384      139425  0.000195429   7.1343e+08   177  0.000166479  0.000120052  0.000201167  0.000174408
 2   3      32768      274625  0.000541881    5.068e+08   205  0.000404932  0.000227031  0.000379293  0.000338768
 2   3      65536      545025   0.00168886  3.22718e+08   278   0.00137713  0.000731534  0.000728255  0.000654269
 2   3     131072     1081665   0.00354848  3.04825e+08   362   0.00297602   0.00190494   0.00158885   0.00126809
 2   3     262144     2146689   0.00724628  2.96247e+08   418   0.00606826   0.00413117   0.00328661   0.00258101
 2   3     524288     4276737    0.0153927  2.77842e+08   566    0.0120912   0.00831357   0.00682951   0.00529449
 2   3    1048576     8520321    0.0310952  2.74008e+08   737     0.024187    0.0166774    0.0140892    0.0110111
 2   3    2097152    16974593    0.0611853  2.77429e+08   853    0.0472295    0.0322925    0.0273696    0.0218331
 2   3    4194304    33883137      0.12047  2.81257e+08  1000    0.0935942    0.0641306     0.054933    0.0433594
 2   3    8388608    67634433      0.23982  2.82021e+08  1000     0.186005     0.126434     0.105647    0.0858057

