 p   q  n_element      n_dofs      time/it    dofs/s/it  itCG  time/matvec  timeMVmerge  timeMVcompu  timeMVlinear
 7   9          8        3375  9.26406e-05  3.64311e+07    68  7.55539e-05  5.55864e-05   0.00011528  7.25099e-05
 7   9         16        6525  9.43422e-05  6.91631e+07    90  7.95879e-05  5.89466e-05  0.000120866  7.44571e-05
 7   9         32       12615  9.80858e-05  1.28612e+08   116  8.50862e-05  6.49333e-05   0.00012563   8.0787e-05
 7   9         64       24389  0.000100261  2.43255e+08   142   8.4979e-05  6.48422e-05  0.000125682  8.09819e-05
 7   9        128       47937  0.000103024  4.65301e+08   187  8.83696e-05  6.75236e-05  0.000129395  8.35371e-05
 7   9        256       94221  0.000190153    4.955e+08   238  0.000168702  0.000129262  0.000252011  0.000162909
 7   9        512      185193  0.000304073   6.0904e+08   287  0.000271875  0.000203124  0.000415559  0.000261452
 7   9       1024      367137  0.000618579  5.93517e+08   351  0.000533908  0.000349146  0.000704653  0.000444349
 7   9       2048      727833   0.00178474  4.07808e+08   505    0.0014504  0.000909312   0.00146929  0.000899482
 7   9       4096     1442897   0.00373888  3.85917e+08   590   0.00295392   0.00204016   0.00285961   0.00158911
 7   9       8192     2873025   0.00786407  3.65335e+08   733   0.00603122   0.00447811   0.00569733   0.00318245
 7   9      16384     5720625    0.0160232  3.57021e+08  1000    0.0118373   0.00843547    0.0114689   0.00670986
 7   9      32768    11390625    0.0319767  3.56216e+08  1000    0.0230957    0.0165459    0.0220169    0.0132464
 7   9      65536    22730625    0.0634353  3.58328e+08  1000    0.0455056     0.032423    0.0428422    0.0259197
 7   9     131072    45360225     0.125903  3.60278e+08  1000    0.0895008    0.0639223    0.0840918     0.050877
 7   9     262144    90518849      0.24797  3.65039e+08  1000     0.176739     0.125674     0.164914    0.0993542

