 p   q  n_element      n_dofs      time/it    dofs/s/it  itCG  time/matvec
 5   6          8        1331  2.49819e-05  5.32785e+07    98  1.36178e-05
 5   6         16        2541  2.75973e-05  9.20744e+07   100   1.4871e-05
 5   6         32        4851  2.98153e-05  1.62702e+08   100  1.68815e-05
 5   6         64        9261  3.14776e-05  2.94209e+08   100  1.85283e-05
 5   6        128       18081  3.25488e-05  5.55505e+08   100  1.91623e-05
 5   6        256       35301  5.31195e-05  6.64559e+08   100  3.64778e-05
 5   6        512       68921  7.38336e-05  9.33464e+08   100  5.14306e-05
 5   6       1024      136161  0.000116912  1.16464e+09   100  8.54302e-05
 5   6       2048      269001  0.000200264  1.34323e+09   100  0.000148557
 5   6       4096      531441  0.000466498  1.13921e+09   100  0.000298056
 5   6       8192     1056321   0.00151958  6.95139e+08   100  0.000939871
 5   6      16384     2099601    0.0037607    5.583e+08   100     0.002364
 5   6      32768     4173281   0.00928431  4.49498e+08   100   0.00500749
 5   6      65536     8320641    0.0207867  4.00288e+08   100   0.00985126
 5   6     131072    16589601    0.0413344  4.01351e+08   100    0.0192505
 5   6     262144    33076161    0.0812412  4.07135e+08   100     0.037737
 5   6     524288    66049281      0.15996  4.12911e+08   100    0.0735244


