 p   q  n_element      n_dofs      time/it    dofs/s/it  itCG  time/matvec
 4   5         16        1377  1.66268e-05  8.28182e+07   100  9.66048e-06
 4   5         32        2601  1.79424e-05  1.44964e+08   100  1.13018e-05
 4   5         64        4913   2.1744e-05  2.25947e+08   100  1.45291e-05
 4   5        128        9537  2.11403e-05  4.51129e+08   100   1.3233e-05
 4   5        256       18513  2.26317e-05  8.18014e+08   100  1.42356e-05
 4   5        512       35937  3.25841e-05   1.1029e+09   100  2.40249e-05
 4   5       1024       70785  3.74639e-05  1.88942e+09   100  2.72788e-05
 4   5       2048      139425  5.60269e-05  2.48853e+09   100  4.16255e-05
 4   5       4096      274625  9.01659e-05  3.04577e+09   100  6.45508e-05
 4   5       8192      545025  0.000192555   2.8305e+09   100  0.000141868
 4   5      16384     1081665  0.000587612  1.84078e+09   100   0.00036648
 4   5      32768     2146689   0.00167295  1.28317e+09   100   0.00109912
 4   5      65536     4276737   0.00431889   9.9024e+08   100   0.00259318
 4   5     131072     8520321    0.0105797  8.05345e+08   100   0.00547266
 4   5     262144    16974593    0.0225734  7.51973e+08   100    0.0110634
 4   5     524288    33883137    0.0466827  7.25819e+08   100    0.0217783
 4   5    1048576    67634433    0.0934063  7.24088e+08   100    0.0428401
 4   5    2097152   135005697     0.185093  7.29395e+08   100    0.0844322

